site_code,name,zone,latitude,longitude,population_catchment_5km,population_density,existing_hospitals,existing_schools,distance_major_road_km,transit_access,flood_risk,elevation_m,slope_deg,land_use,land_available_acres,utility_infrastructure,water_availability,electricity_availability,internet_availability,land_cost_cr_per_acre,road_score,access_score,infra_score,environment_score,cost_score,dataset_ai_score,dataset_confidence,recommended_infrastructure,dataset_recommendation
W-001,T. Nagar,Central,13.0418,80.2341,185000,27500,9,18,0.3,Metro + Bus,Low,18,1.2,Commercial,4.2,Excellent,High,High,5G,38,98,99,98,90,70,95.8,97,Government Hospital,Highly Recommended
W-002,Anna Nagar,West,13.0850,80.2101,172000,21800,8,20,0.4,Metro,Very Low,22,1.0,Residential,5.8,Excellent,High,High,Fiber,34,97,97,96,95,72,94.6,96,Higher Secondary School,Highly Recommended
W-003,Velachery,South,12.9791,80.2210,168000,20900,7,17,0.5,MRTS + Bus,Moderate,14,1.3,Mixed,6.3,Excellent,High,High,Fiber,31,95,96,95,82,75,92.4,95,Urban Health Centre,Recommended
W-004,Adyar,South,13.0067,80.2570,145000,18700,8,16,0.4,Bus,Low,16,1.1,Residential,4.8,Excellent,High,High,5G,40,96,95,97,91,66,91.8,95,Multi-speciality Hospital,Recommended
W-005,Guindy,South,13.0067,80.2206,160000,19500,6,14,0.2,Metro + Rail,Low,24,0.9,Mixed,7.1,Excellent,High,High,Fiber,29,98,98,95,93,78,91.3,94,Fire & Emergency Station,Recommended
W-006,Perungudi,South,12.9639,80.2426,125000,12300,5,12,0.5,OMR Corridor,Moderate,15,1.5,IT Zone,8.4,Excellent,High,High,Fiber,27,92,94,93,82,80,89.6,93,Primary Health Centre,Recommended
W-007,Sholinganallur,South,12.9010,80.2279,138000,11900,5,13,0.6,OMR,Low,20,1.7,Mixed,10.2,High,High,High,Fiber,25,93,92,91,89,84,88.8,92,Government School,Recommended
W-008,Tambaram,South,12.9229,80.1275,158000,10600,7,15,0.4,Rail + Bus,Moderate,28,1.4,Residential,8.1,High,High,High,5G,23,91,93,92,85,86,87.9,91,Community Hospital,Recommended
W-009,Pallavaram,South,12.9675,80.1500,118000,9800,4,10,0.5,GST Road,Moderate,30,1.8,Residential,9.0,High,High,High,Fiber,22,90,91,90,87,87,86.5,90,Public Health Centre,Recommended
W-010,Chromepet,South,12.9516,80.1462,132000,11200,5,12,0.6,Rail + GST Road,Low,27,1.5,Mixed,7.5,High,High,High,5G,24,91,90,89,90,85,85.7,90,Government Hospital,Recommended
