location,population_2026,projected_2030,projected_2035,projected_2045,growth_priority
Velachery,185000,201000,221000,256000,High
Tambaram,235000,255000,281000,326000,High
Pallikaranai,128000,146000,170000,212000,Very High
Medavakkam,148000,170000,196000,244000,Very High
Perungudi,92000,102000,118000,145000,High
Sholinganallur,142000,165000,198000,258000,Very High
Thoraipakkam,87000,97000,112000,139000,High
Adyar,175000,183000,192000,205000,Medium
Guindy,138000,146000,155000,171000,Medium
Saidapet,129000,136000,144000,156000,Medium
T. Nagar,162000,168000,174000,182000,Low
Anna Nagar,158000,165000,172000,180000,Low
Nungambakkam,95000,100000,105000,112000,Low
Mylapore,112000,116000,120000,126000,Low
Royapuram,138000,145000,152000,165000,Medium
Ambattur,258000,282000,310000,358000,High
Avadi,312000,340000,374000,432000,High
Madhavaram,192000,211000,236000,278000,High
Manali,97000,103000,110000,122000,Medium
Ennore,56000,59000,62000,68000,Low
Porur,162000,182000,210000,256000,High
Poonamallee,146000,164000,189000,232000,High
Chromepet,176000,188000,203000,228000,Medium
Kolathur,183000,197000,214000,246000,High
Koyambedu,82000,90000,102000,124000,Medium
Red Hills,91000,103000,119000,149000,High
Mudichur,76000,93000,122000,178000,Very High
Meenambakkam,69000,76000,86000,108000,Medium
Egmore,84000,87000,91000,98000,Low
Triplicane,98000,102000,106000,113000,Low
