locality,latitude,longitude,zone,note
Pallikaranai,12.9350,80.2100,South,Approximate marshland-adjacent locality centroid
Mudichur,12.9080,80.0640,South West,Approximate locality centroid
Saidapet,13.0210,80.2230,Central,Approximate locality centroid
Alandur,13.0030,80.2040,South,Approximate locality centroid
Poonamallee,13.0480,80.0950,West,Approximate locality centroid
Red Hills,13.1900,80.1830,North West,Approximate locality centroid
Meenambakkam,12.9900,80.1700,South,Approximate locality centroid
Nemmeli,12.7300,80.2400,Coastal South,Approximate coastal locality centroid
Kundrathur,12.9970,80.0960,West,Approximate locality centroid
Manapakkam,13.0180,80.1770,West,Approximate locality centroid
Thiruvanmiyur,12.9830,80.2590,Coastal South,Approximate locality centroid
Besant Nagar,13.0000,80.2660,Coastal South,Approximate locality centroid
Marina,13.0500,80.2824,Coastal Central,Approximate Marina beachfront centroid
North Chennai,13.1400,80.2900,North,Indicative centroid for the northern industrial belt
Madipakkam,12.9600,80.1980,South,Approximate locality centroid
Kelambakkam,12.7800,80.2200,South,Approximate locality centroid
OMR (IT Corridor),12.9200,80.2280,South,Indicative midpoint of the Old Mahabalipuram Road corridor
Siruseri,12.8230,80.2170,South,Approximate locality centroid
ICF Colony,13.1050,80.2200,North,Approximate locality centroid
Ekkaduthangal,13.0155,80.2050,West,Alternate spelling of Ekkatuthangal
Tiruvottiyur,13.1600,80.3000,North,Alternate spelling of Thiruvottiyur
