area,proposed_project,project_type,scheme_name
Velachery,Primary Health Centre,Health Centre,Ayushman Bharat (PM-JAY)
Pallikaranai,Storm Water Drain,Drainage,AMRUT 2.0
Tambaram,Drinking Water Supply,Water Supply,Jal Jeevan Mission
Mudichur,Flood Relief Centre,Disaster Shelter,National Disaster Management Programme
Medavakkam,Government School,School,Samagra Shiksha
Sholinganallur,Internal Roads,Road,PMGSY
Perungudi,Sewage Treatment Plant,Sewerage,AMRUT 2.0
Porur,Water Pipeline,Water Supply,Jal Jeevan Mission
Adyar,Urban Health Centre,Health Centre,National Health Mission
Guindy,Smart Traffic System,Smart Infrastructure,Smart Cities Mission
Anna Nagar,Government School Upgrade,School,Samagra Shiksha
T. Nagar,Public Toilet Complex,Sanitation,Swachh Bharat Mission
Mylapore,Heritage Road Improvement,Heritage Road,Smart Cities Mission
Royapuram,Fishing Harbour Facilities,Fishing Harbour,PM Matsya Sampada Yojana
Ambattur,Government Hospital,Hospital,Ayushman Bharat Health Infrastructure Mission
Madhavaram,Overhead Water Tank,Water Tank,Jal Jeevan Mission
Kolathur,Community Health Centre,Community Health Centre,National Health Mission
Chromepet,Bridge Construction,Bridge,PMGSY
Meenambakkam,Airport Link Road,Airport Link Road,PM Gati Shakti
Avadi,Skill Development Centre,Skill Centre,PM Kaushal Vikas Yojana
Manali,Air Quality Monitoring,Environmental Monitoring,National Clean Air Programme
Ennore,Coastal Protection,Coastal Infrastructure,National Coastal Mission
Koyambedu,Bus Terminal Upgrade,Transit Facility,Smart Cities Mission
Red Hills,Reservoir Improvement,Reservoir,Jal Jeevan Mission
Villivakkam,Storm Water Drain,Drainage,AMRUT 2.0
Perambur,Railway Over Bridge,Railway Over Bridge,PM Gati Shakti
Thiruvanmiyur,Coastal Protection Wall,Sea Wall,National Coastal Mission
Besant Nagar,Beach Infrastructure,Beach Infrastructure,Swadesh Darshan Scheme
Marina,Public Amenities,Sanitation,Swachh Bharat Mission
Alandur,Metro Access Road,Metro Access Road,PM Gati Shakti
Manapakkam,Drainage Improvement,Drainage,AMRUT 2.0
Kundrathur,Government Higher Secondary School,School,Samagra Shiksha
Nemmeli,Desalination Water Supply,Desalination Support,Jal Jeevan Mission
Triplicane,Urban Primary Health Centre,Health Centre,Ayushman Bharat (PM-JAY)
Egmore,Government Hospital Expansion,Hospital Expansion,Ayushman Bharat Health Infrastructure Mission
Saidapet,Anganwadi Building,Anganwadi,POSHAN Abhiyaan
Thoraipakkam,Solid Waste Management,Solid Waste,Swachh Bharat Mission
Poonamallee,Affordable Housing,Housing,Pradhan Mantri Awas Yojana (Urban)
Nungambakkam,Digital Learning Centre,Digital Infrastructure,Digital India Programme
North Chennai,Solar Street Lights,Renewable Energy,PM Surya Ghar / Renewable Energy Programme
