published_priority,area,project_name,impact_score,sector
1,Pallikaranai,Storm Water Drain,99,Flood Mitigation & Drainage
2,Velachery,Flood Mitigation System,98,Flood Mitigation & Drainage
3,Mudichur,Primary Health Centre,97,Healthcare
4,Tambaram,Drinking Water Tank,96,Water & Sanitation
5,Medavakkam,Government School,95,Education
6,Sholinganallur,Road Expansion,94,Transport & Connectivity
7,Perungudi,Sewage Treatment Plant,93,Water & Sanitation
8,Porur,Water Supply Pipeline,92,Water & Sanitation
9,Adyar,River Restoration,91,Flood Mitigation & Drainage
10,Ennore,Coastal Flood Protection,90,Flood Mitigation & Drainage
11,Manali,Air Pollution Monitoring Centre,89,Environment & Sustainability
12,Ambattur,Government Hospital,88,Healthcare
13,Madhavaram,Bus Terminal Upgrade,87,Transport & Connectivity
14,Kolathur,Overhead Water Tank,86,Water & Sanitation
15,Royapuram,Public Toilet Complex,85,Public Amenities
16,Chromepet,Bridge Construction,84,Transport & Connectivity
17,Guindy,Smart Traffic Signals,83,Transport & Connectivity
18,Anna Nagar,Community Health Centre,82,Healthcare
19,T. Nagar,Multi-Level Parking,81,Transport & Connectivity
20,Mylapore,Footpath Development,80,Transport & Connectivity
21,Saidapet,Rainwater Harvesting,79,Flood Mitigation & Drainage
22,Thoraipakkam,Waste Management Centre,78,Environment & Sustainability
23,Avadi,Fire Station,77,Emergency Services
24,Poonamallee,Skill Development Centre,76,Education
25,Koyambedu,Integrated Bus Stand Upgrade,75,Transport & Connectivity
26,Red Hills,Water Reservoir Improvement,74,Water & Sanitation
27,Meenambakkam,Airport Connectivity Road,73,Transport & Connectivity
28,Egmore,Public Health Clinic,72,Healthcare
29,Triplicane,Heritage Road Improvement,71,Transport & Connectivity
30,Nungambakkam,EV Charging Station,70,Environment & Sustainability
31,Villivakkam,Storm Water Drain,69,Flood Mitigation & Drainage
32,Perambur,Railway Over Bridge,68,Transport & Connectivity
33,Thiruvanmiyur,Coastal Protection Wall,67,Flood Mitigation & Drainage
34,Besant Nagar,Beach Infrastructure,66,Public Amenities
35,Marina,Smart Public Toilets,65,Public Amenities
36,Alandur,Metro Access Road,64,Transport & Connectivity
37,Manapakkam,Drainage Upgrade,63,Flood Mitigation & Drainage
38,Kundrathur,Government Higher Secondary School,62,Education
39,Nemmeli,Desalination Water Supply,61,Water & Sanitation
40,North Chennai,Community Disaster Shelter,60,Flood Mitigation & Drainage
