area,budget,accessibility,flood_safety,population_coverage,sustainability
Velachery,90,82,98,92,80
Pallikaranai,95,76,99,88,90
Tambaram,88,90,82,95,84
Mudichur,92,70,100,85,88
Medavakkam,85,84,90,90,87
Sholinganallur,90,92,80,94,91
Perungudi,84,88,89,87,86
Thoraipakkam,86,86,91,88,88
Adyar,82,90,86,86,89
Guindy,80,96,78,84,90
Anna Nagar,76,95,75,89,91
T. Nagar,75,98,72,96,84
Nungambakkam,72,96,74,85,90
Mylapore,74,92,76,84,88
Royapuram,84,83,90,86,82
Ambattur,88,89,83,95,86
Madhavaram,87,84,85,90,83
Manali,90,78,92,82,81
Ennore,91,70,97,75,93
Porur,85,91,84,92,86
Poonamallee,84,87,80,89,88
Chromepet,83,89,79,90,84
Kolathur,87,84,88,91,83
Koyambedu,81,95,78,94,82
Red Hills,85,79,86,80,91
Meenambakkam,82,94,79,83,86
Egmore,78,96,74,87,87
Triplicane,79,92,76,88,84
Villivakkam,84,86,85,89,85
Perambur,83,88,82,90,84
Thiruvanmiyur,82,91,85,86,92
Besant Nagar,80,88,88,82,94
Marina,81,94,90,91,89
Alandur,82,90,80,88,86
Manapakkam,84,85,84,84,87
Kundrathur,86,78,79,83,89
Nemmeli,89,72,95,76,96
North Chennai,91,80,94,93,85
Washermanpet,83,87,86,91,82
Tiruvottiyur,88,82,93,88,86
ICF Colony,78,90,76,84,85
Ekkaduthangal,80,94,78,85,87
OMR (IT Corridor),92,95,82,96,93
Siruseri,90,90,80,91,95
Kelambakkam,88,84,81,89,94
